id_studenta;imię;nazwisko;uczelnia;miejsce_zam;rok_studiow;dochod_na_osobe
11;Przemyslaw;Planeta;Akademia Sztuk Pieknych;Bedzin;V;444
206;Malgorzata;Stojecka;Akademia Sztuk Pieknych;Bedzin;I;2932
908;Wojciech;Batory;Akademia Sztuk Pieknych;Bochnia;II;1442
1388;Szymon;Kulik;Akademia Sztuk Pieknych;Bochnia;I;834
286;Sebastian;Adalewski;Akademia Sztuk Pieknych;Chalupki;II;2821
464;Morfeusz;Grodecki;Akademia Sztuk Pieknych;Chelm;I;1713
292;Zofia;Bylska;Akademia Sztuk Pieknych;Dzierzoniow;II;1822
502;Elzbieta;Jaworska;Akademia Sztuk Pieknych;Glucholazy;II;804
1214;Tomasz;Adamiecki;Akademia Sztuk Pieknych;Glucholazy;II;661
1556;Mateusz;Kozlowski;Akademia Sztuk Pieknych;Gorki Male;I;3332
799;Oliwia;Bogdal;Akademia Sztuk Pieknych;Jaworzno;III;2021
593;Klaudia;Janecka;Akademia Sztuk Pieknych;Jejkowice;I;1257
475;Lew;Wiejski;Akademia Sztuk Pieknych;Katowice;I;1787
1091;Rafal;Wierzbicki;Akademia Sztuk Pieknych;Katowice;I;2823
1194;Witold;Czarnecki;Akademia Sztuk Pieknych;Kedzierzyn-Kozle;II;3010
90;Barbara;Boronowska;Akademia Sztuk Pieknych;Kielce;I;874
1458;Beata;Pogonska;Akademia Sztuk Pieknych;Kobylin-Borzymy;IV;2983
581;Andrzej;Kuras;Akademia Sztuk Pieknych;Kolbaskowo;V;838
1396;Cecylia;Jaskolska;Akademia Sztuk Pieknych;Koscian;III;3050
1165;Elzbieta;Lubanska;Akademia Sztuk Pieknych;Lubaczow;I;2715
1450;Janina;Witarek;Akademia Sztuk Pieknych;Miedzyrzecz;I;1863
1605;Czeslaw;Balonski;Akademia Sztuk Pieknych;Mikolow;I;629
755;Szymon;Boruta;Akademia Sztuk Pieknych;Nowy Sacz;V;945
1457;Leszek;Bareczek;Akademia Sztuk Pieknych;Nowy Targ;I;2922
1073;Kamil;Bajer;Akademia Sztuk Pieknych;Nysa;I;3074
1517;Zofia;Piwowarczyk;Akademia Sztuk Pieknych;Nysa;V;1206
351;Oktawian;Kadej;Akademia Sztuk Pieknych;Ogrodniki;I;2668
632;Katarzyna;Jokiel;Akademia Sztuk Pieknych;Ogrodzieniec;I;847
241;Anna;Trzebnicka;Akademia Sztuk Pieknych;Olkusz;I;1151
1037;Zofia;Miejska;Akademia Sztuk Pieknych;Przemysl;II;3283
2;Zofia;Chorzowska;Akademia Sztuk Pieknych;Pulawy;II;1549
1578;Ewa;Bartosz;Akademia Sztuk Pieknych;Raciborz;I;2717
1001;Natalia;Kochman;Akademia Sztuk Pieknych;Skorogoszcz;I;2854
930;Donald;Bakowski;Akademia Sztuk Pieknych;Slawkow;I;1410
